sample_id,hex_out,float_out,label,prediction,correct,latency_cycles_cnn,latency_us
213,0x003fee54,-2.208984,0,0,1,204,1.020
214,0x003fee54,-2.208984,0,0,1,204,1.020
215,0x003fee54,-2.208984,0,0,1,204,1.020
216,0x003fee54,-2.208984,0,0,1,203,1.015
217,0x003fee54,-2.208984,0,0,1,203,1.015
218,0x003fee54,-2.208984,0,0,1,204,1.020
219,0x003fee54,-2.208984,0,0,1,204,1.020
220,0x003fee54,-2.208984,0,0,1,204,1.020
221,0x003fee54,-2.208984,0,0,1,203,1.015
222,0x003fee54,-2.208984,0,0,1,203,1.015
223,0x003fee54,-2.208984,0,0,1,204,1.020
224,0x003fee54,-2.208984,0,0,1,204,1.020
225,0x003fee54,-2.208984,0,0,1,204,1.020
226,0x003fee54,-2.208984,0,0,1,203,1.015
227,0x003fee54,-2.208984,0,0,1,203,1.015
228,0x003fee54,-2.208984,0,0,1,204,1.020
229,0x003fee54,-2.208984,0,0,1,204,1.020
230,0x003fee54,-2.208984,0,0,1,204,1.020
231,0x003fee54,-2.208984,0,0,1,203,1.015
232,0x003fee54,-2.208984,0,0,1,203,1.015
233,0x003fee54,-2.208984,0,0,1,204,1.020
234,0x003fee54,-2.208984,0,0,1,204,1.020
235,0x003fee54,-2.208984,0,0,1,204,1.020
236,0x003fee54,-2.208984,0,0,1,203,1.015
237,0x003fee54,-2.208984,0,0,1,203,1.015
238,0x003fee54,-2.208984,0,0,1,204,1.020
239,0x003fee54,-2.208984,0,0,1,204,1.020
240,0x003fee54,-2.208984,0,0,1,204,1.020
241,0x003fee54,-2.208984,0,0,1,203,1.015
242,0x003fee54,-2.208984,0,0,1,203,1.015
243,0x003fee54,-2.208984,0,0,1,204,1.020
244,0x003fee54,-2.208984,0,0,1,204,1.020
245,0x003fee54,-2.208984,0,0,1,204,1.020
246,0x003fee54,-2.208984,0,0,1,203,1.015
247,0x003fee54,-2.208984,0,0,1,203,1.015
248,0x003fee54,-2.208984,0,0,1,204,1.020
