sample_id,hex_out,float_out,label,prediction,correct,latency_cycles_cnn,latency_us,input_first_fire_time_ns,input_last_fire_time_ns,cnn_result_time_ns
290,0x003fedc2,-2.280273,0,0,1,203,1.015,294558,294810,295573
291,0x003fee2d,-2.228027,0,0,1,203,1.015,295574,295826,296588
292,0x003fed8b,-2.307129,0,0,1,203,1.015,296590,296842,297603
293,0x003fedbd,-2.282715,0,0,1,202,1.010,297606,297858,298618
294,0x003fedf3,-2.256348,0,0,1,203,1.015,298618,298870,299633
295,0x003fed62,-2.327148,0,0,1,203,1.015,299634,299886,300648
296,0x003fedd7,-2.270020,0,0,1,203,1.015,300650,300902,301663
297,0x003fee19,-2.237793,0,0,1,202,1.010,301666,301918,302678
298,0x003fed88,-2.308594,0,0,1,203,1.015,302678,302930,303693
299,0x003fedb8,-2.285156,0,0,1,203,1.015,303694,303946,304708
300,0x003feda8,-2.292969,0,0,1,203,1.015,304710,304962,305723
301,0x003fedad,-2.290527,0,0,1,202,1.010,305726,305978,306738
302,0x003fee84,-2.185547,0,0,1,203,1.015,306738,306990,307753
303,0x003fee65,-2.200684,0,0,1,203,1.015,307754,308006,308768
304,0x003fedd0,-2.273438,0,0,1,203,1.015,308770,309022,309783
305,0x003fedfe,-2.250977,0,0,1,202,1.010,309786,310038,310798
306,0x003fedc0,-2.281250,0,0,1,203,1.015,310798,311050,311813
307,0x003fee1d,-2.235840,0,0,1,203,1.015,311814,312066,312828
308,0x003fee98,-2.175781,0,0,1,203,1.015,312830,313082,313843
309,0x003fede0,-2.265625,0,0,1,202,1.010,313846,314098,314858
310,0x003fed13,-2.365723,0,0,1,203,1.015,314858,315110,315873
311,0x003fede5,-2.263184,0,0,1,203,1.015,315874,316126,316888
312,0x003fedd8,-2.269531,0,0,1,203,1.015,316890,317142,317903
313,0x003fede4,-2.263672,0,0,1,202,1.010,317906,318158,318918
314,0x003fedb8,-2.285156,0,0,1,203,1.015,318918,319170,319933
315,0x003fedd6,-2.270508,0,0,1,203,1.015,319934,320186,320948
316,0x003fece5,-2.388184,0,0,1,203,1.015,320950,321202,321963
317,0x003fed73,-2.318848,0,0,1,202,1.010,321966,322218,322978
318,0x003fed7a,-2.315430,0,0,1,203,1.015,322978,323230,323993
319,0x003fed2e,-2.352539,0,0,1,203,1.015,323994,324246,325008
320,0x003fedda,-2.268555,0,0,1,203,1.015,325010,325262,326023
321,0x003feda9,-2.292480,0,0,1,202,1.010,326026,326278,327038
322,0x003fec50,-2.460938,0,0,1,203,1.015,327038,327290,328053
323,0x003fed86,-2.309570,0,0,1,203,1.015,328054,328306,329068
324,0x003fee41,-2.218262,0,0,1,203,1.015,329070,329322,330083
325,0x003fed5d,-2.329590,0,0,1,202,1.010,330086,330338,331098
326,0x003fed67,-2.324707,0,0,1,203,1.015,331098,331350,332113
327,0x003fedce,-2.274414,0,0,1,203,1.015,332114,332366,333128
328,0x003fedb9,-2.284668,0,0,1,203,1.015,333130,333382,334143
329,0x003fecfc,-2.376953,0,0,1,202,1.010,334146,334398,335158
330,0x003fedfe,-2.250977,0,0,1,203,1.015,335158,335410,336173
331,0x003fedb8,-2.285156,0,0,1,203,1.015,336174,336426,337188
332,0x003fed95,-2.302246,0,0,1,203,1.015,337190,337442,338203
333,0x003fed65,-2.325684,0,0,1,202,1.010,338206,338458,339218
334,0x003fed22,-2.358398,0,0,1,203,1.015,339218,339470,340233
335,0x003fed52,-2.334961,0,0,1,203,1.015,340234,340486,341248
336,0x003fede5,-2.263184,0,0,1,203,1.015,341250,341502,342263
337,0x003fed93,-2.303223,0,0,1,202,1.010,342266,342518,343278
338,0x003fed79,-2.315918,0,0,1,203,1.015,343278,343530,344293
339,0x003fed9c,-2.298828,0,0,1,203,1.015,344294,344546,345308
340,0x003fed93,-2.303223,0,0,1,203,1.015,345310,345562,346323
341,0x003fed27,-2.355957,0,0,1,202,1.010,346326,346578,347338
342,0x003fedaa,-2.291992,0,0,1,203,1.015,347338,347590,348353
343,0x003fedbf,-2.281738,0,0,1,203,1.015,348354,348606,349368
344,0x003feda3,-2.295410,0,0,1,203,1.015,349370,349622,350383
345,0x003fedae,-2.290039,0,0,1,202,1.010,350386,350638,351398
346,0x003fed68,-2.324219,0,0,1,203,1.015,351398,351650,352413
347,0x003fed6f,-2.320801,0,0,1,203,1.015,352414,352666,353428
348,0x003fece7,-2.387207,0,0,1,203,1.015,353430,353682,354443
349,0x003fed80,-2.312500,0,0,1,202,1.010,354446,354698,355458
350,0x003fed54,-2.333984,0,0,1,203,1.015,355458,355710,356473
351,0x003fed22,-2.358398,0,0,1,203,1.015,356474,356726,357488
352,0x003fed01,-2.374512,0,0,1,203,1.015,357490,357742,358503
353,0x003fed17,-2.363770,0,0,1,202,1.010,358506,358758,359518
354,0x003fecb1,-2.413574,0,0,1,203,1.015,359518,359770,360533
355,0x003fecfb,-2.377441,0,0,1,203,1.015,360534,360786,361548
356,0x003fecfd,-2.376465,0,0,1,203,1.015,361550,361802,362563
357,0x003fecdf,-2.391113,0,0,1,202,1.010,362566,362818,363578
358,0x003fec74,-2.443359,0,0,1,203,1.015,363578,363830,364593
359,0x003feceb,-2.385254,0,0,1,203,1.015,364594,364846,365608
360,0x003fec2a,-2.479492,0,0,1,203,1.015,365610,365862,366623
361,0x003fec93,-2.428223,0,0,1,202,1.010,366626,366878,367638
362,0x003feca8,-2.417969,0,0,1,203,1.015,367638,367890,368653
363,0x003fecae,-2.415039,0,0,1,203,1.015,368654,368906,369668
364,0x003fec48,-2.464844,0,0,1,203,1.015,369670,369922,370683
365,0x003fec9a,-2.424805,0,0,1,202,1.010,370686,370938,371698
366,0x003fec5b,-2.455566,0,0,1,203,1.015,371698,371950,372713
367,0x003fec5f,-2.453613,0,0,1,203,1.015,372714,372966,373728
368,0x003fecbf,-2.406738,0,0,1,203,1.015,373730,373982,374743
