sample_id,stim_kind,pulse_offset_sample,pulse_start_ns,pulse_width_samples,pulse_peak_mv,adc_code_pos,adc_code_neg,pulse_channel,hex_out,float_out,label,prediction,correct,latency_cycles_cnn,latency_us
172,bipolar_sweep,172,172,10,50.000,256,-256,0,0x003fef8a,-2.057617,0,0,1,203,1.015
173,bipolar_sweep,173,173,10,50.000,256,-256,0,0x003ff060,-1.953125,0,0,1,204,1.020
174,bipolar_sweep,174,174,10,50.000,256,-256,0,0x003fee55,-2.208496,0,0,1,204,1.020
175,bipolar_sweep,175,175,10,50.000,256,-256,0,0x003fede7,-2.262207,0,0,1,204,1.020
176,bipolar_sweep,176,176,10,50.000,256,-256,0,0x003fef36,-2.098633,0,0,1,203,1.015
177,bipolar_sweep,177,177,10,50.000,256,-256,0,0x003ff09d,-1.923340,0,0,1,203,1.015
178,bipolar_sweep,178,178,10,50.000,256,-256,0,0x003ff01d,-1.985840,0,0,1,204,1.020
179,bipolar_sweep,179,179,10,50.000,256,-256,0,0x003fef1e,-2.110352,0,0,1,204,1.020
180,bipolar_sweep,180,180,10,50.000,256,-256,0,0x003fed75,-2.317871,0,0,1,204,1.020
181,bipolar_sweep,181,181,10,50.000,256,-256,0,0x003fed91,-2.304199,0,0,1,203,1.015
182,bipolar_sweep,182,182,10,50.000,256,-256,0,0x003fee7c,-2.189453,0,0,1,203,1.015
183,bipolar_sweep,183,183,10,50.000,256,-256,0,0x003feed1,-2.147949,0,0,1,204,1.020
184,bipolar_sweep,184,184,10,50.000,256,-256,0,0x003feec5,-2.153809,0,0,1,204,1.020
185,bipolar_sweep,185,185,10,50.000,256,-256,0,0x003fef56,-2.083008,0,0,1,204,1.020
186,bipolar_sweep,186,186,10,50.000,256,-256,0,0x003fef17,-2.113770,0,0,1,203,1.015
187,bipolar_sweep,187,187,10,50.000,256,-256,0,0x003fefb1,-2.038574,0,0,1,203,1.015
188,bipolar_sweep,188,188,10,50.000,256,-256,0,0x003ff1be,-1.782227,0,0,1,204,1.020
189,bipolar_sweep,189,189,10,50.000,256,-256,0,0x003ff127,-1.855957,0,0,1,204,1.020
190,bipolar_sweep,190,190,10,50.000,256,-256,0,0x003ff171,-1.819824,0,0,1,204,1.020
191,bipolar_sweep,191,191,10,50.000,256,-256,0,0x003ff172,-1.819336,0,0,1,203,1.015
192,bipolar_sweep,192,192,10,50.000,256,-256,0,0x003fef06,-2.122070,0,0,1,203,1.015
193,bipolar_sweep,193,193,10,50.000,256,-256,0,0x003fee40,-2.218750,0,0,1,204,1.020
194,bipolar_sweep,194,194,10,50.000,256,-256,0,0x003fefce,-2.024414,0,0,1,204,1.020
195,bipolar_sweep,195,195,10,50.000,256,-256,0,0x003fefb2,-2.038086,0,0,1,204,1.020
196,bipolar_sweep,196,196,10,50.000,256,-256,0,0x003fee50,-2.210938,0,0,1,203,1.015
197,bipolar_sweep,197,197,10,50.000,256,-256,0,0x003fed36,-2.348633,0,0,1,203,1.015
198,bipolar_sweep,198,198,10,50.000,256,-256,0,0x003febad,-2.540527,0,0,1,204,1.020
199,bipolar_sweep,199,199,10,50.000,256,-256,0,0x003feb89,-2.558105,0,0,1,204,1.020
200,bipolar_sweep,200,200,10,50.000,256,-256,0,0x003fecc2,-2.405273,0,0,1,204,1.020
201,bipolar_sweep,201,201,10,50.000,256,-256,0,0x003fed39,-2.347168,0,0,1,203,1.015
202,bipolar_sweep,202,202,10,50.000,256,-256,0,0x003fecf3,-2.381348,0,0,1,203,1.015
203,bipolar_sweep,203,203,10,50.000,256,-256,0,0x003fed58,-2.332031,0,0,1,204,1.020
204,bipolar_sweep,204,204,10,50.000,256,-256,0,0x003fed16,-2.364258,0,0,1,204,1.020
205,bipolar_sweep,205,205,10,50.000,256,-256,0,0x003fed8c,-2.306641,0,0,1,204,1.020
